"Source","Author","Title","URL","publishedAt"
"cnn","null","36 hours with the Taliban","https://www.cnn.com/interactive/2019/02/middleeast/36-hours-with-the-taliban-intl/","null"
"cnn","Bianca Britton, CNN","Afghanistan peace talks resume in Doha with Taliban co-founder","http://us.cnn.com/2019/02/25/middleeast/us-taliban-afghanistan-peace-talks-doha-intl/index.html","2019-02-25T17:03:17Z"
"cnn","null","How two CNN reporters gained access to the Taliban - CNN Video","http://us.cnn.com/videos/world/2019/02/25/clarissa-ward-salma-abdelaziz-journalists-taliban-lon-orig.cnn","null"
"cnn","Nick Paton Walsh and Masoud Popalzai, CNN","Afghanistan's young Lionel Messi fan is now a Taliban target","http://us.cnn.com/2019/02/13/middleeast/messi-fan-murtaza-ahmadi-taliban-target-afghanistan-intl/index.html","2019-02-13T08:13:33Z"
"cnn","Barbara Starr and Ryan Browne, CNN","US officials warn ISIS' Afghanistan branch poses a major threat","http://us.cnn.com/2019/02/19/politics/isis-afghanistan-threat/index.html","2019-02-19T21:17:03Z"
"cnn","null","36 Hours with the Taliban - CNN Video","http://us.cnn.com/videos/world/2019/02/25/clarissa-ward-36-hours-with-the-taliban.cnn","null"
"cnn","Tami Luhby, CNN","Industry opponents line up to quash Medicare for All","http://us.cnn.com/2019/02/25/politics/medicare-for-all-opponents/index.html","2019-02-25T17:08:50Z"
"cnn","Gregory Krieg, CNN","Sanders to face voters at CNN town hall before campaign trips to Brooklyn and Chicago","http://us.cnn.com/2019/02/25/politics/bernie-sanders-2020-first-week/index.html","2019-02-25T11:01:08Z"
"cnn","Analysis by Zachary B. Wolf, CNN","Here's the vision for Bernie Sanders' utopia","http://us.cnn.com/2019/02/25/politics/bernie-sanders-america-2020-plan-vision-policy-platform/index.html","2019-02-25T22:47:19Z"
"cnn","Holmes Lybrand, CNN","Fact Check: Did Ivanka Trump create 'millions of jobs'?","http://us.cnn.com/2019/02/25/politics/fact-check-ivanka-trump-create-millions-of-jobs/index.html","2019-02-25T21:02:35Z"
